sample,plate,method,culture,pass_metQC,pass_accQC,pass_rnaQC,lineage
Plate1_A01,Plate1,NMT,neg,FALSE,FALSE,FALSE,Differentiated
Plate1_D01,Plate1,NMT,EB,TRUE,TRUE,TRUE,Pluripotent
Plate1_E01,Plate1,NMT,EB,TRUE,TRUE,TRUE,Differentiated
Plate1_F01,Plate1,NMT,EB,TRUE,TRUE,TRUE,Pluripotent
Plate1_G01,Plate1,NMT,EB,TRUE,TRUE,TRUE,Pluripotent
Plate1_D02,Plate1,NMT,EB,TRUE,TRUE,TRUE,Differentiated
Plate1_E02,Plate1,NMT,EB,TRUE,TRUE,TRUE,Differentiated
Plate1_F02,Plate1,NMT,EB,TRUE,TRUE,TRUE,Differentiated
Plate1_G02,Plate1,NMT,EB,TRUE,TRUE,TRUE,Differentiated
Plate1_H02,Plate1,NMT,EB,TRUE,TRUE,TRUE,Differentiated
Plate1_D03,Plate1,NMT,EB,TRUE,TRUE,TRUE,Pluripotent
Plate1_E03,Plate1,NMT,EB,TRUE,TRUE,TRUE,Differentiated
Plate1_F03,Plate1,NMT,EB,TRUE,TRUE,TRUE,Pluripotent
Plate1_G03,Plate1,NMT,EB,FALSE,FALSE,TRUE,Differentiated
Plate1_G04,Plate1,NMT,EB,TRUE,FALSE,TRUE,Pluripotent
Plate1_E05,Plate1,NMT,EB,TRUE,TRUE,TRUE,Differentiated
Plate1_H05,Plate1,NMT,EB,TRUE,TRUE,TRUE,Pluripotent
Plate1_F06,Plate1,NMT,EB,FALSE,FALSE,TRUE,Pluripotent
Plate1_G06,Plate1,NMT,EB,TRUE,TRUE,TRUE,Differentiated
Plate1_H06,Plate1,NMT,EB,TRUE,TRUE,TRUE,Pluripotent
Plate1_D07,Plate1,NMT,EB,TRUE,TRUE,TRUE,Differentiated
Plate1_E07,Plate1,NMT,EB,TRUE,TRUE,TRUE,Pluripotent
Plate1_F07,Plate1,NMT,EB,TRUE,TRUE,TRUE,Differentiated
Plate1_G07,Plate1,NMT,EB,TRUE,FALSE,TRUE,Differentiated
Plate1_H07,Plate1,NMT,EB,TRUE,TRUE,TRUE,Pluripotent
Plate1_D08,Plate1,NMT,EB,TRUE,TRUE,TRUE,Differentiated
Plate1_E08,Plate1,NMT,EB,TRUE,TRUE,TRUE,Pluripotent
Plate1_F08,Plate1,NMT,EB,TRUE,TRUE,TRUE,Pluripotent
Plate1_G08,Plate1,NMT,EB,TRUE,TRUE,TRUE,Differentiated
Plate1_D09,Plate1,NMT,EB,FALSE,FALSE,TRUE,Pluripotent
Plate1_F09,Plate1,NMT,EB,TRUE,TRUE,TRUE,Differentiated
Plate1_G09,Plate1,NMT,EB,TRUE,TRUE,TRUE,Differentiated
Plate1_H09,Plate1,NMT,EB,TRUE,TRUE,TRUE,Pluripotent
Plate1_D10,Plate1,NMT,EB,TRUE,TRUE,TRUE,Differentiated
Plate1_D11,Plate1,NMT,EB,TRUE,TRUE,TRUE,Pluripotent
Plate1_E11,Plate1,NMT,EB,TRUE,TRUE,TRUE,Differentiated
Plate1_D12,Plate1,MT,EB,TRUE,FALSE,TRUE,Differentiated
Plate1_E12,Plate1,MT,EB,FALSE,FALSE,TRUE,Differentiated
Plate1_F12,Plate1,MT,EB,TRUE,FALSE,TRUE,Differentiated
Plate1_G12,Plate1,MT,EB,FALSE,FALSE,TRUE,Pluripotent
Plate2_F02,Plate2,NMT,EB,TRUE,TRUE,TRUE,Differentiated
Plate2_G05,Plate2,NMT,EB,TRUE,TRUE,TRUE,Differentiated
Plate2_G07,Plate2,NMT,EB,TRUE,TRUE,TRUE,Differentiated
Plate2_B12,Plate2,MT,EB,TRUE,FALSE,TRUE,Differentiated
Plate2_D12,Plate2,MT,EB,FALSE,FALSE,FALSE,Differentiated
Plate2_E12,Plate2,MT,EB,FALSE,FALSE,FALSE,Differentiated
Plate2_F12,Plate2,MT,EB,TRUE,FALSE,FALSE,Differentiated
Plate2_G12,Plate2,MT,EB,TRUE,FALSE,FALSE,Differentiated
